,Year,Coal Prod,Gas Prod,Oil Prod
510,2220,0.0,0.00011126879435759682,0.0
511,2221,0.0,9.038903606717426e-05,0.0
512,2222,0.0,7.417587645170242e-05,0.0
513,2223,0.0,6.14956697334393e-05,0.0
514,2224,0.0,5.231518581259504e-05,0.0
515,2225,0.0,4.424984898564303e-05,0.0
516,2226,0.0,3.649115305555245e-05,0.0
517,2227,0.0,3.067712833779265e-05,0.0
518,2228,0.0,2.470375812429057e-05,0.0
519,2229,0.0,2.0200765367113484e-05,0.0
520,2230,0.0,1.5886761147230493e-05,0.0
521,2231,0.0,1.2701423584131859e-05,0.0
522,2232,0.0,9.620634676859697e-06,0.0
523,2233,0.0,7.408665071629512e-06,0.0
524,2234,0.0,5.241903587758823e-06,0.0
525,2235,0.0,4.042242463164339e-06,0.0
526,2236,0.0,3.208590638712524e-06,0.0
527,2237,0.0,2.335477094799695e-06,0.0
528,2238,0.0,1.8921854302057595e-06,0.0
529,2239,0.0,1.4153905890513712e-06,0.0
530,2240,0.0,1.1125976844288246e-06,0.0
531,2241,0.0,7.770897579368662e-07,0.0
532,2242,0.0,5.76957139956868e-07,0.0
533,2243,0.0,3.458898089533615e-07,0.0
534,2244,0.0,8.195705672456092e-08,0.0
535,2245,0.0,0.0,0.0
536,2246,0.0,0.0,0.0
537,2247,0.0,0.0,0.0
538,2248,0.0,0.0,0.0
539,2249,0.0,0.0,0.0
540,2250,0.0,0.0,0.0
541,2251,0.0,0.0,0.0
542,2252,0.0,0.0,0.0
543,2253,0.0,0.0,0.0
544,2254,0.0,0.0,0.0
545,2255,0.0,0.0,0.0
546,2256,0.0,0.0,0.0
547,2257,0.0,0.0,0.0
548,2258,0.0,0.0,0.0
549,2259,0.0,0.0,0.0
550,2260,0.0,0.0,0.0
551,2261,0.0,0.0,0.0
552,2262,0.0,0.0,0.0
553,2263,0.0,0.0,0.0
554,2264,0.0,0.0,0.0
555,2265,0.0,0.0,0.0
556,2266,0.0,0.0,0.0
557,2267,0.0,0.0,0.0
558,2268,0.0,0.0,0.0
559,2269,0.0,0.0,0.0
560,2270,0.0,0.0,0.0
561,2271,0.0,0.0,0.0
562,2272,0.0,0.0,0.0
563,2273,0.0,0.0,0.0
564,2274,0.0,0.0,0.0
565,2275,0.0,0.0,0.0
566,2276,0.0,0.0,0.0
567,2277,0.0,0.0,0.0
568,2278,0.0,0.0,0.0
569,2279,0.0,0.0,0.0
570,2280,0.0,0.0,0.0
571,2281,0.0,0.0,0.0
572,2282,0.0,0.0,0.0
573,2283,0.0,0.0,0.0
574,2284,0.0,0.0,0.0
575,2285,0.0,0.0,0.0
576,2286,0.0,0.0,0.0
577,2287,0.0,0.0,0.0
578,2288,0.0,0.0,0.0
579,2289,0.0,0.0,0.0
580,2290,0.0,0.0,0.0
581,2291,0.0,0.0,0.0
582,2292,0.0,0.0,0.0
583,2293,0.0,0.0,0.0
584,2294,0.0,0.0,0.0
585,2295,0.0,0.0,0.0
586,2296,0.0,0.0,0.0
587,2297,0.0,0.0,0.0
588,2298,0.0,0.0,0.0
589,2299,0.0,0.0,0.0
590,2300,0.0,0.0,0.0
591,2301,0.0,0.0,0.0
592,2302,0.0,0.0,0.0
593,2303,0.0,0.0,0.0
594,2304,0.0,0.0,0.0
595,2305,0.0,0.0,0.0
596,2306,0.0,0.0,0.0
597,2307,0.0,0.0,0.0
598,2308,0.0,0.0,0.0
599,2309,0.0,0.0,0.0
600,2310,0.0,0.0,0.0
601,2311,0.0,0.0,0.0
602,2312,0.0,0.0,0.0
603,2313,0.0,0.0,0.0
604,2314,0.0,0.0,0.0
605,2315,0.0,0.0,0.0
606,2316,0.0,0.0,0.0
607,2317,0.0,0.0,0.0
608,2318,0.0,0.0,0.0
609,2319,0.0,0.0,0.0
610,2320,0.0,0.0,0.0
611,2321,0.0,0.0,0.0
612,2322,0.0,0.0,0.0
613,2323,0.0,0.0,0.0
614,2324,0.0,0.0,0.0
615,2325,0.0,0.0,0.0
616,2326,0.0,0.0,0.0
617,2327,0.0,0.0,0.0
618,2328,0.0,0.0,0.0
619,2329,0.0,0.0,0.0
620,2330,0.0,0.0,0.0
621,2331,0.0,0.0,0.0
622,2332,0.0,0.0,0.0
623,2333,0.0,0.0,0.0
624,2334,0.0,0.0,0.0
625,2335,0.0,0.0,0.0
626,2336,0.0,0.0,0.0
627,2337,0.0,0.0,0.0
628,2338,0.0,0.0,0.0
629,2339,0.0,0.0,0.0
630,2340,0.0,0.0,0.0
631,2341,0.0,0.0,0.0
632,2342,0.0,0.0,0.0
633,2343,0.0,0.0,0.0
634,2344,0.0,0.0,0.0
635,2345,0.0,0.0,0.0
636,2346,0.0,0.0,0.0
637,2347,0.0,0.0,0.0
638,2348,0.0,0.0,0.0
639,2349,0.0,0.0,0.0
640,2350,0.0,0.0,0.0
641,2351,0.0,0.0,0.0
642,2352,0.0,0.0,0.0
643,2353,0.0,0.0,0.0
644,2354,0.0,0.0,0.0
645,2355,0.0,0.0,0.0
646,2356,0.0,0.0,0.0
647,2357,0.0,0.0,0.0
648,2358,0.0,0.0,0.0
649,2359,0.0,0.0,0.0
650,2360,0.0,0.0,0.0
651,2361,0.0,0.0,0.0
652,2362,0.0,0.0,0.0
653,2363,0.0,0.0,0.0
